Opinion_Phrases,Relevant_Words,Sentiment_Expressions,Aspect,Product,Sentiment,Reviews
stress on the cord,"called, told, bumping, were, made, be, covered, apologize","due, excess, excess, short",cord,earphone,NEGATIVE,I called the company and they told me that due to my jogging the excess   stress on the cord   (bumping up and down)and the excess moisture (the sweat in my ears) were user made damages and thus cannot be covered and apologize for such a short lifespan.  
sound through cord,"does, tangle, is, sound, Think","Solid, perfect, Awesome, ambient, Clear, crisp, high",cord,earphone,POSITIVE,Pros: Solid construction Cord does not tangle easily (and perfect length) Lightweight Comfortable Attractive Case is Awesome Blocks out ambient sound well (when in ear*) Clear crisp mid & high range Cons: Bumps or taps transports   sound through cord    Think of a doctors stethoscope.  
cord  wire bumping,"use, working, is, doing, have, held, minimize, bumping, moving",OK,cord,earphone,POSITIVE,"I use them at the gym primarily, and working out is OK  but doing cardio, I have to snake it down my back, under my tshirt, cord held down by my cardio monitor strap to minimize the sounds of the   cord  wire bumping   my tshirt when moving!  "
cord is too short,"is, keep, give, are, moving, doing",short,cord,earphone,NEGATIVE,the  cord is too short  the the headphone keep give you shock while you are moving or doing anything.  
cord is very short,"is, am, seeeming, is, tangle, practicallt, tie","short, impressed, impossible",cord,earphone,NEGATIVE,Also the  cord is very short  but i am very impressed seeeming it is impossible to tangle unless you practicallt tie it in a knot.  
tear wear the cord,"ve, gone, end, needing, replacing, loses, wear, tear, wear, meets","other, sound, due",cord,earphone,NEGATIVE,Ive gone through a lot of ear buds and they usually end up needing replacing after one side or the other loses sound due to wear and   tear wear the cord   meets the ear buds.  
wear and tear where the cord    damage where the cord,"have, lasted, left, gave, wear, tear, meets, is, meets","little, shortest, due, invisible, audio",cord,earphone,NEGATIVE,"Today, after a little over five months of use (undoubtedly the shortest period a set of ear buds have lasted me)the sound on the left ear bud gave out, not due to   wear and tear where the cord   meets the ear bud, but what is apparently invisible   damage where the cord   meets the audio jack.  "
cord are pretty stiff,"are, are","stiff, hard",cord,earphone,NEGATIVE,The  cord are pretty stiff  and the ear buds are actually quite hard.  
cord problem,"is, hear, have, theres, do, buy","infamous, many, same, much, different",cord,earphone,NEGATIVE,There is of course the infamous   cord problem   where you hear it like a stethoscope but many of the models out there have the same problem and theres not much you can do about it besides buy a different pair.  
cord bounces,is,"horrible, sound",cord,earphone,NEGATIVE,"If the   cord bounces   on your body at all, there is horrible feedback into the sound stream.  "
cord was stiff and heavy,"was, did, stay","stiff, heavy",cord,earphone,NEGATIVE,The   cord was stiff and heavy   so the earbuds did not stay in my ears at all.  
cord was too long,"was, did, have","great, good, solid",cord,earphone,POSITIVE,"comfort great, but the   cord was too long  , and it did not have a good solid cord.  "
cord is flimsy,"are, get, is","hard, flimsy, short",cord,earphone,NEGATIVE,Buds are hard to get in the ear and the  cord is flimsy  and too short.  
cord rattle,"is, rattle",painful,cord,earphone,NEGATIVE,This is painful and transmits every   cord rattle   right to my eardrums.  
length of the cord,"is, split, is",short,cord,earphone,NEGATIVE,The problem however is that the   length of the cord   when they split to each earpiece is too short.  
cord is very very short,is,short,cord,earphone,NEGATIVE,"also, the  cord is very very short  .  "
cord has failed,"has, been, has, failed, get, sound, being, flex","other, intermittent",cord,earphone,NEGATIVE,"It hasnt even been 2 months yet, and the   cord has failed    I can only get sound out of one side; the other being intermittent (primarily off) as I flex the cord near the insertion to the plug.  "
short the actual cord,"do, like, is, are, had","short, actual, old",cord,earphone,NEGATIVE,"I seriously do not like how   short the actual cord   is, also the ear buds arent as far apart as the old pair I had.  "
immobilize the cord,"have, isolate, immobilize, have, destroyed, rumbling, seems","good, sound, everpresent",cord,earphone,NEGATIVE,You have to isolate and   immobilize the cord   not to have the otherwise good sound quality destroyed by the rumbling that seems everpresent.  
cord rustling,"grazes, be, spoiled",other,cord,earphone,NEGATIVE,"If the cord even grazes your shirt, hand, desk or any other object your audio will be spoiled by the   cord rustling  .  "
crackles if you move the cord,"mean, move","bad, bad, bad",cord,earphone,NEGATIVE,"Cons: Honestly, bad sound (I mean really bad in my experience) bad wiring (  crackles if you move the cord   esp.  "
distortion from cord,"have, choose, find, is, noted, rubbing","comfortable, adequate, active",cord,earphone,NEGATIVE,"JBuds have three sizes to choose from to find a comfortable fit, sound is adequate, noted   distortion from cord   rubbing on cloths with active movement.  "
poor cord relief,"love, was","mechanical, poor, uncomfortable, sound, excellent",cord,earphone,POSITIVE,"I love the JBuds J1, except for the mechanical flaws (  poor cord relief  , uncomfortable plastic arm on bud, etc), but the sound quality was excellent.  "
cord strain relief,"gave, purchased","due, rough, poor",cord,earphone,NEGATIVE,"When my J1s finally gave up (due to my rough treatment, and the poor   cord strain relief  ) I quickly purchased two of the J3s.  "
cord is to short,is,short,cord,earphone,NEGATIVE,The  cord is to short  .  
cord get bent,"get, stops, being, registered","bent, certain",cord,earphone,NEGATIVE,If the   cord get bent   a certain way it stops being registered by the Ipod player.  
cord is crazy long,"think, is, making",crazy,cord,earphone,NEGATIVE,Also think that the   cord is crazy long   making it a bit of a nuisance at times.  
bump the cord,"s, talk, exercise, bump, is, echo","difficult, loud",cord,earphone,NEGATIVE,"Additionally, its very difficult to talk and exercise in these as every time you   bump the cord   against your body or scratch as the microphone or inline controls, there is a loud echo in your ear.  "
Wiggling the cord,"Wiggling, caused, go",other,cord,earphone,NEGATIVE,  Wiggling the cord   gently also caused the sound in the other earbud to go in and out.  
cord noise,move,much,cord,earphone,POSITIVE,But the   cord noise   bothers me too much whenever you move.  
cord is somewhat flimsy,is,"flimsy, cheap",cord,earphone,NEGATIVE,The  cord is somewhat flimsy  and cheap feeling.  
cord makes them tangle,"coupled, makes, tangle","thin, plasticy",cord,earphone,NEGATIVE,"This, coupled with the thin and plasticy feel of the   cord makes them tangle   a lot.  "
cord is pretty short,is,short,cord,earphone,NEGATIVE,And the  cord is pretty short  .  
noise is unbearable if the cord,"walking, is, makes, run","unbearable, difficult",cord,earphone,NEGATIVE,"Even when just walking the line   noise is unbearable if the cord   so much as even touches my shirt, which makes it very difficult to run with.  "
contact with the cord,is,audible,cord,earphone,POSITIVE,Any type of   contact with the cord   with or without the sound on is loudly audible.  
rubbing the cord,"includes, rubbing, breathing",much,cord,earphone,POSITIVE,"This includes so much as   rubbing the cord   slightly, or even breathing on it.  "
bumping the cord,"bumping, exists, has, improved",sound,cord,earphone,POSITIVE,"Edit #2: While the issue with   bumping the cord   still exists, the sound quality has greatly improved over time.  "
cord is shorter,"is, is, is","uncomfortable, shorter, most, sound, mediocre, best",cord,earphone,NEGATIVE,"It is uncomfortable, the  cord is shorter  than most, and the sound quality is mediocre at best.  "
cord was a bit shorter,"knew, was, wanted, was, used, ended, being","shorter, short",cord,earphone,NEGATIVE,"And while I knew the   cord was a bit shorter   than what I wanted and was used to, they still ended up being too short for ease of use.  "
cord is too short,"hear, make, is, cant, run, fall","short, cant",cord,earphone,NEGATIVE,"you hear every move you make as the cord bounces on your body, the  cord is too short  so you cant run with them the earbuds fall out of your ears easily so again you cant run with them.  "
